,heading,text
502,Manhunt follows attack on historic black South Carolina church,"Police in Charleston, South Carolina, were searching for a white gunman on Thursday who killed nine people in a historic African-American church, in an attack that police and the city's mayor described as a hate crime."
503,Obama Visits Florida Everglades to Press Climate Change Agenda,"President Barack Obama will celebrate Earth Day by traveling to the Florida Everglades, a trip aimed at highlighting the risks posed by climate change and decrying those who deny the threat.
Wednesday’s visit will be the president’s first to the Everglades, a region the White House calls “ground zero” for the impacts of climate change. Rising sea levels in the low-lying area are eroding the shoreline, endangering the landscape and threatening drinking water supplies.
Mr. Obama’s tour of Everglades National Park is part of a broad administration-wide push to show..."
504,"Obama Spends Earth Day In The Everglades, Taunting Republicans On Climate Change","President Barack Obama is making an Earth Day visit to Florida's Everglades on Wednesday, where he'll talk about environmental issues. It's of course a huge coincidence that the visit is in the backyard of two Republican presidential hopefuls who have been squishy on the subject of climate change.
White House Press Secretary Josh Earnest told reporters on a call ahead of the trip that Obama ""will use the occasion of Earth Day to highlight his commitment to fighting to protect public health and to fighting the carbon pollution that contributes..."
505,"Obama honors Earth Day by using 9,180 gallons of jet fuel — that’s just the start","President Obama is celebrating Earth Day by flying in his jumbo jet down to Florida so he can tour the Everglades.
The 1,836-mile roundtrip will consume 9,180 gallons of fuel on Air Force One, according to CBS White House reporter Mark Knoller. And that’s just the president’s plane.
There will a half-dozen support planes along for the trip, Marine One helicopters, and a 25- to 30-vehicle motorcade belching exhaust into the air."
506,Trump closing argument is battle cry against Clinton corruption,"Donald Trump called on voters Saturday to help him defeat a “totally rigged system,” delivering a speech billed as the closing argument for his presidential campaign that became a battle cry against the forces that he said conspire against him and the American people."
507,Trump Touts Plan for First 100 Days of Presidency,"Donald Trump, trying to jump-start his struggling campaign heading in the election’s home stretch, Saturday traveled to a storied Civil War battlefield to frame his closing argument to voters to u"
508,Donald Trump Pledges to ‘Heal Divisions’ (and Sue His Accusers),"Donald J. Trump came to this historic battlefield town Saturday to offer his vision for America’s future, saying he hoped to “heal the divisions” of the country as President Lincoln tried to do here seven score and 13 years ago."
509,Obama Takes Over White House Press Briefing To Speak On Trayvon Martin,"President Barack Obama made an unexpected appearance at Friday's White House press briefing to talk about the outcome of the Trayvon Martin case and, more broadly, how the United States continues to grapple with racial bias.
""When Trayvon Martin was first shot, I said that this could have been my son. Another way of saying that is, Trayvon Martin could have been me 35 years ago,"" Obama said."
510,Obama: Trayvon Martin 'Could Have Been Me',"Six days after a Florida jury acquitted a Hispanic man in the shooting death of an African-American teen, President Barack Obama made his first extensive comments on the case, speaking in personal terms about his own experience of being black in America.
"" Trayvon Martin could have been me 35 years ago,"" the president said in the remarks, made Friday during a surprise appearance in the White House press room. Mr. Martin, a 17-year-old African-American, was shot and killed in Florida last year in a case that riveted millions of..."
511,"Obama enters Martin debate with personal remarks, questions 'stand-your-ground'","President Obama publicly and personally addressed the Trayvon Martin case for the first time since George Zimmerman was acquitted nearly a week ago, relating his own experiences to the ""pain"" the black community is feeling and going on to question so-called ""stand-your-ground"" laws."
