,heading,text
251,OPINION: The insane national freak-out over Indiana's religious freedom law,The moral panic that a fundamentalist Christian armed with a packet of instant yeast and a stand mixer can inspire is something to behold.
252,Fact checking the 2015 State of the Union address,"A State of the Union address is often difficult to fact-check, no matter who is president. The speech is a product of many hands and is carefully vetted, so major errors of fact are relatively rare. But State of the Union addresses often are very political speeches, an argument for the president’s policies, so context is sometimes missing."
253,Fact-checking Obama's 'State of the Union' address (+video),"The U.S. may not have ""risen from recession"" quite as rousingly as President Barack Obama suggested in his State of the Union speech Tuesday night. Seven years after that severe downturn began, household income hasn't recovered and healthy job growth is complicated by the poor quality, and pay, of many of those jobs."
254,Obama’s State of the Union Speech Gets Fact-Checked,"The U.S. may not have “risen from recession” quite as rousingly as President Barack Obama suggested in his State of the Union speech Tuesday night. Seven years after that severe downturn began, household income hasn’t recovered and healthy job growth is complicated by the poor quality, and pay, of many of those jobs."
255,Ted Cruz Wins Wyoming Presidential Nominating Contest,"Republican U.S. presidential hopeful Ted Cruz won all 14 delegates at stake on Saturday in Wyoming, besting rival Donald Trump, who made little effort to win the rural state, and further narrowing the gap in the race for the party’s nomination.
Cruz is trying to prev"
256,"Fresh Off Wyoming Sweep, Cruz Targets More Trump Supporters","Ted Cruz has a message for Republican delegates: I can win over Donald Trump's supporters even if I don't win over Trump himself.
""If it ends up, as I think probably will happen, at a contested convention that we earn a majority, it's going to be critically important then to keep the Donald T"
257,Trump massacred in delegate fights once more,"It was another delegate bloodbath for Donald Trump.
In Georgia. In Wyoming. In South Carolina. In Kansas. In Florida. Ted Cruz put on a clinic, mobilizing his GOP activist base to capture at least 50 delegates on Saturday while Trump came away with a"
258,Stephen Miller Is an Immigration Hypocrite. I Know Because I’m His Uncle.,"If my nephew’s ideas on immigration had been in force a century ago, our family would have been wiped out."
259,"Stephen Miller’s uncle calls Miller an ‘immigration hypocrite,’ compares Trump to Nazis",The uncle of White House senior adviser Stephen Miller referred to him as an “immigration hypocrite” in a scathing editorial.
260,Immigration and the ‘Hypocrisy’ Charge,"In an essay for Politico, David S. Glosser launches into a sharp-tongued critique of the immigration views of Stephen Miller, who is both his nephew and a top Trump aide. With a headline calling Miller a “hypocrite” on immigration, Glosser’s essay tells the rags-to-riches story of Miller’s own ancestors, who arrived in the U.S. as poor Jewish immigrants but ended up owning a number of supermarkets and department stores."
261,Justice Department appeals latest travel ban setback to Supreme Court,"The Justice Department on Friday appealed to the Supreme Court a federal judge's decision to allow grandparents, grandchildren, aunts, uncles and other relatives of people in the U.S. to circumvent the Trump administration's travel ban policy."
262,Trump administration appeals Hawaii court ruling on travel ban,"The Trump administration late Friday appealed directly to the U.S. Supreme Court after a federal judge in Hawaii ordered to expand the list of U.S. family relationships that refugees and visitors from six Muslim-majority countries can use to get into the country, including grandparents and grandchildren."
263,Trump administration says it will go to Supreme Court after Hawaii judge expands travel ban exemptions,The Trump administration said Friday it would go to the Supreme Court to fight a Hawaii federal judge’s decision vastly expanding the number of people exempt from the government’s ban on travelers from six predominantly Muslim countries and all refugees.
264,Trump pulls security clearance of ex-CIA Director John Brennan,"President Donald Trump on Wednesday revoked the security clearance of former CIA Director John Brennan, who has become a harsh critic of the president, and appeared to be targeting others who have disagreed with the administration."
265,OPINION: Trump is wrong to suspend John Brennan's clearance,"John Brennan has made some very ill-advised comments in recent months, but President Trump should not have suspended the former CIA director's security clearance. Allowing his understandable offense at Brennan's frequent and ferocious criticisms to drive his policy decisions, Trump has put his ego before the national interest."
266,Trump ties revoking Brennan clearance to Russia probe,President Trump in an interview attributed his decision to revoke ex-CIA Director John Brennan's security clearance to his role in early stages of the investigation into Russian interference in the 2016 election.
267,Presidential Election: Trump Goes on the Attack as Early Voting Shapes Campaign’s Final Weekend,"Hillary Clinton and Donald J. Trump are using the final Saturday before Election Day to make their closing pitches to voters, with Mrs. Clinton in South Florida and Philadelphia and Mr. Trump dashing to four states across three time zones — the sort of barnstorming tours presidential candidates traditionally have made in the last 72 hours before Election Day."
268,Florida Early Voting Nears 5.3 Million,"Florida's early turnout could be good news to both Democrats and Republicans, as almost 5.3 million cast their ballots before Election Day.
According to CBS News, 41 percent of active registered voters in the state have submitted their ballots, just under 5.3 million so far, up from 4.8 million in 2012."
269,Early Voting Data Shows Who’s Turning Out,"Early- and absentee-voting data suggests Hillary Clinton may be benefiting from an uptick in Hispanic voters even as turnout among African-Americans appears to be lagging compared with 2008 and 2012. Donald Trump, meanwhile, isn’t seeing a significant turnout boost powered by white voters, though Republicans are seeing positive signs in several Midwestern states."
270,Stormy Daniels: Trump discloses payment to reimburse lawyer,US President Donald Trump has officially disclosed his reimbursement to his lawyer for a payment to a porn star to hush her claims of an affair.
271,Trump Finally Fesses Up to Reimbursing Michael Cohen,"There’s still a great deal of mystery surrounding the president’s payment: Who knew about it, and why was it not previously disclosed?"
272,Trump met federal disclosure requirement by reimbursing Cohen for Stormy Daniels payment: Government,"President Trump met financial disclosure requirements in reporting a payment of more than $100,000 to attorney Michael Cohen, who paid hush-money to porn actress Stormy Daniels, the Office of Government Ethics said Wednesday."
273,Evasive COVID-19 subvariants that you don’t know about are spreading fast,"Focus on these new names: BQ1 and BQ1.1.  They are two of the hundreds of subvariants of the Omicron variant of the coronavirus behind COVID-19 that the World Health Organization is tracking.  
These subvariants have shown up in Nigeria, the United Kingdom, Japan, Canada, France, Belgium, New Zealand, Denmark and Italy.  And serious COVID-19 cases are rising around the world, just not in the U.S. yet. But we have been down this road before and we know, by now, where it is likely to lead."
274,What the White House sees coming for COVID this winter,"The U.S. should prepare for a spike in COVID cases this winter as more people gather indoors and infections already begin to rise in Europe, White House COVID-19 Response Coordinator Ashish Jha says.
The warning echoes that of some other experts who anticipate a rise in cases in the coming months, while other modelling suggests that infections will recede in the near future.
""We are seeing this increase in Europe, and Europe tends to precede us by about four to six weeks,"" Jha told NPR. ""And so it stands to reason that as..."
275,What to know about new COVID variants BQ.1 and BQ1.1,"A new coronavirus variant BQ.1 and its sibling BQ1.1. are steadily accounting for more infections in the United States, spurring some concern that it may help fuel a resurgence in cases this winter.
BQ.1 and BQ1.1., which both descend from BA.5, an omicron subvariant that accounts for over 67% of COVID-19 cases in the U.S., now make up roughly 11% of infections and are closing in on becoming the second-most dominant variant in the U.S., a rate at which Biden chief medical adviser Dr. Anthony Fauci said is ""pretty troublesome."""
276,"Obama: Russia Doesn't Share US Values, Putin 'Protecting' Assad","President Barack Obama says a U.S.-Russian agreement offers a chance to destroy Syria's stockpile of chemical weapons and promises to end the threat they pose to Syrians and the world.
But the two powers are divided over the fate of Syrian President Bashar Assad. Obama, speaking in a television interview taped before Saturday's announcement of the chemical weapons deal, said Russian President Vladimir Putin is ""protecting"" Assad and doesn't share American ""values"" in Syria.
""He has a different attitude about the Assad regime,"" Obama told ABC's ""This Week.""
""But what..."
277,Sen. John McCain: Russia not serious on Syria,"Sen. John McCain suggested on Sunday that the U.S. deal with Russia to remove chemical weapons from Syria will be difficult to enforce without the threat of force.
""It's not a matter of trust,"" McCain said. ""It's a matter of whether it will be enforced. [Russia foreign secretary Sergei Lavrov] said 'there is nothing in this agreement about the use of force,' i.e. they will not agree to the use of force no matter what [Syrian President] Bashar Assad does."""
278,"Obama: 'Trust, but verify' on Putin's Syria plan","President Obama says he is taking a ""trust, but verify"" approach to Russian counterpart Vladimir Putin and his proposal to remove Syria's chemical weapons.
""This is not the Cold War, this is not a contest between the United States and Russia,"" Obama told ABC's This Week in an interview broadcast Sunday.
ABC taped the interview Friday, before the United States and Russia announced an agreement to inventory Syria's chemical weapons program and seize its components. It also calls for penalties on Bashar Assad's government if it fails to comply."
279,"Trump to CPAC: ‘Now you finally have a president, finally’","President Trump declared himself among friends as he delivered a campaign-style speech Friday at an annual gathering of conservative activists and told the crowd that his movement represented the future of the Republican party.
“Now you finally have a president, finally,” Trump said, shortly after taking stage to Lee Greenwood's “God Bless the U.S.A.”"
280,Trump At CPAC: 'The Era Of Empty Talk Is Over',President Trump's love for the crowd at the Conservative Political Action Conference was palpable from the beginning of his speech Friday morning.
281,"Trump hails conservative support at CPAC, slams ‘fake’ media","President Trump received a raucous reception at the annual Conservative Political Action Conference Friday, thanking the “power of the people” for electing him and slamming the “fake news” media for much of his address."
282,Hot November inflation report was probably the best the White House could have hoped for at this point,"The Labor Department’s consumer inflation report showed that prices are still jumping.
But as hot as 6.8% year over year inflation is, Friday’s consumer price index report is probably the best the Biden administration could have hoped for at this point. 
While virtually every economist expects inflation to stay high for the foreseeable future, some on Wall Street had worried before Friday’s data release that inflation could have leaped as high as 7% or more in November. "
283,The Inflation Suspense Goes On,"Today’s consumer price report came as a huge surprise to almost everyone — because the numbers came in almost exactly in line with expectations, which basically never happens. Analysts whose job is to forecast what official numbers will say a few hours before they come out — a job of dubious usefulness, but whatever — expected the one-year rate of inflation to come in at 6.8 percent; it came in at … 6.8 percent. “Core” inflation that strips out volatile food and energy prices came in right on expectations too.
If there..."
284,Inflation — from WIN to DIN,"And just like that, we’re back at the Volcker era — except there’s no Volcker in sight:
Colby Smith for the Financial Times:
US consumer prices increased at the fastest pace in nearly 40 years in November, piling more political pressure on the Biden administration as it seeks support for a massive spending plan.
The consumer price index, published by the Bureau of Labor Statistics on Friday, rose 6.8 per cent last month from a year ago — the fastest annual pace since 1982 and a significant pick-up from the 6.2 per..."
285,House Republicans Unveil Tax-Cut Bill Ahead of Election Push,House Republican lawmakers introduced legislation Monday that would make the 2017 tax cuts for individuals permanent in a bid to highlight their signature economic policy achievement ahead of the November elections.
286,House Republicans move to lock in cuts with Tax Reform 2.0,"House Republicans announced legislation Monday to permanently lock in last year’s tax cuts, looking to remind voters of the surging economy — and the Republicans’ role in getting it there — in the weeks before the November elections."
287,House Republicans seek permanent tax cuts as elections loom,House Republican leaders have unveiled their proposal to expand the massive tax law they hustled through Congress last year. They're aiming to make permanent the individual tax cuts and small-business income deductions now set to expire in 2026.
288,"U.S. job market stumbles in May, adding just 138,000 jobs","U.S. job growth came in below expectations in May with employers adding just 138,000 jobs while the unemployment rate fell to 4.3 percent, the lowest it has been in more than 16 years, federal economists reported Friday morning."
289,"May Jobs Report: 138,000 More On Payrolls; Unemployment Dips Slightly","Some 138,000 jobs were added to the U.S. economy in May, according to the monthly jobs report released by the Bureau of Labor Statistics Friday morning."
290,Unemployment at 16-Year Low in May Jobs Report,"Employers scaled back on hiring in May adding 138,000 jobs, below forecasts for a job gains of 185,000, yet this was enough to push the unemployment rate lower."
291,Defiant Trump refuses to apologize to McCain,"Donald Trump wouldn't apologize Sunday after igniting a political firestorm a day earlier by questioning whether Sen. John McCain -- who spent five years as a prisoner during the Vietnam War -- is a war hero.
Asked by ABC News whether he owes McCain an apology, Trump said: ""No, not at all.""
""People that fought hard and weren't captured and went through a lot, they get no credit. Nobody even talks about them. They're like forgotten. And I think that's a shame, if you want to know the truth,"" Trump..."
292,"Donald Trump Says John McCain Is No War Hero, Setting Off Another Storm","Donald J. Trump has made his name in politics with provocative statements, but it was not until Saturday, after the flamboyant businessman turned presidential candidate belittled Senator John McCain’s war record, that many Republicans concluded that silence or equivocation about Mr. Trump’s incendiary rhetoric was inadequate.
Mr. Trump upended a Republican presidential forum here, and the race more broadly, by saying of the Arizona senator and former prisoner of war: “He’s not a war hero. He’s a war hero because he was captured. I like people who weren’t captured.”
Mr...."
293,"Donald Trump says he doesn’t owe an apology to Sen. John McCain, who ‘let us down’","Republican presidential candidate Donald Trump said Sunday he doesn’t owe Sen. John McCain an apology for saying over the weekend that the senator, who was a prisoner of war in Vietnam for six years, isn’t a true war hero.
In a phone interview on ABC’s “This Week,” Mr. Trump — who sits atop the Republican field in some polls — said his fellow candidates are blowing his comments out of proportion because they’re jealous or scared of his political power. He also strongly denied that he owes Mr. McCain an..."
294,Germanwings Co-Pilot Practiced Crash Hours Before It Happened,"The co-pilot of Germanwings Flight 9525 appeared to have practiced a controlled descent on his flight into Barcelona just two hours before he intentionally crashed the A320 jet into a mountainside on the return flight to Dusseldorf, air accident investigators said Wednesday."
295,"Germanwings Co-Pilot Appears to Have Tried to Rehearse Fatal Dive, Report Says","Andreas Lubitz, the co-pilot suspected of deliberately flying a German airliner into the French Alps, appears to have tried to rehearse the plane’s fatal dive during an earlier flight on the day of the crash, the French authorities said in a preliminary report published on Wednesday."
296,Investigators: Germanwings crash co-pilot tried a dry run,"The co-pilot of a Germanwings plane that slammed into the Alps apparently undertook a dry run of the ill-fated flight by setting automatic controls to dangerously low altitudes during a morning trip on the day of the crash, French air accident investigators confirmed Wednesday."
297,Russia moves troops and U.S. sends weapons as fear of war mounts in Ukraine,"Amid mounting concerns of war, the United States and Russia traded provocations on Tuesday with Moscow conducting a wave of military exercises involving warplanes, naval ships and ballistic missiles and Washington delivering a fresh shipment of weapons to Ukraine including antitank missiles and bunker busters.
Diplomats on both sides accused the other of recklessly increasing tensions through troop movements and weapons transfers as they acknowledged broad gaps at the negotiating table.
Russia’s military exercises, involving thousands of troops, elite paratroopers and short range ballistic missiles, sent a message of military..."
298,"Russia announces military exercises amid standoff with US, NATO over Ukraine","Russia on Tuesday announced new military exercises amid a standoff with the U.S. and NATO over Ukraine, which Western officials have warned Russia not to invade.
The newest Russian military drills include short-range ballistic missile units and are being conducted in the western region of Russia, The New York Times reported.
Russia's military district in the area said the exercises were meant ""to comprehensively check forces' combat skills,"" The Washington Post reported."
299,NATO chief announces alliance will not deploy combat troops to Ukraine,"NATO Secretary General Jens Stoltenberg announced the alliance would not be deploying combat troops to Ukraine, which is not a member.
The United States and its allies in Europe are concerned that Russia, which has amassed a significant military presence along its border with Ukraine, could invade after weeks of military maneuvering by Moscow. Those fears have ramped up even further in recent days."
300,Multiple foreign nationals charged in alleged schemes to send military technology to Russia,"“These charges reveal two separate global schemes to violate U.S. export and sanctions laws, including by shipping sensitive military technologies from U.S. manufacturers – including types found in seized Russian weapons platforms in Ukraine – and attempting to reexport a machine system with potential application in nuclear proliferation and defense programs to Russia,” said Attorney General Merrick Garland in a statement.
“As I have said, our investigators and prosecutors will be relentless in their efforts to identify, locate, and bring to justice those whose illegal acts undermine the rule of..."
301,Moscow says U.S. sanctions charges against 5 Russians are 'cynical' bid to intimidate,"Russia sees charges brought by the United States against five Russian nationals for alleged sanctions violations as an attempt to intimidate the business community in Russia and abroad, its foreign ministry said on Thursday.
U.S. prosecutors on Wednesday charged the five with sanctions evasion and other violations related to shipping military technologies bought from U.S. manufacturers to Russian buyers. Some of the electronics obtained through the scheme have been found in Russian weapons platforms seized in Ukraine, prosecutors said.
One of the people charged in the case was arrested in..."
302,Russians Charged With Smuggling Millions Of Barrels Of Venezuelan Oil To China,"Five Russian nationals and two Venezuelan oil brokers allegedly laundered millions of barrels of Venezuelan crude to Beijing in a scheme to aid the Russian military, the Department of Justice said Wednesday.
The Department of Justice (DOJ) indicted several individuals and corporate entities for “alleged participation in a global sanction evasion and money laundering scheme” to furnish Russia with “powerful” civil-military technologies, according to a press release. The DOJ charged the indicted persons with smuggling millions of barrels of sanctioned Venezuelan oil to generate illicit revenue for Russian oligarchs as well as stealing sensitive U.S. military technology..."
303,Florida’s governor celebrated his anti-mandate Covid laws. Now Omicron is here,"Barely one month ago, Florida’s Republican governor Ron DeSantis was on a victory lap. The state’s average rate of new Covid-19 infections was the lowest in the nation, and a lapdog legislature was about to sign into law his sweeping new coronavirus measures, including the outlawing of mask and vaccine mandates in pursuit of “striking a blow for freedom”.
There was no mention of the 61,500 Floridians who have lost their lives to the virus.
Now, with the highly transmissible Omicron variant gaining a foothold in the US and likely already present in Florida, doctors say, the robustness of the..."
304,Does Florida Now Have Lowest Daily U.S. COVID Cases Per Capita?,"Over the past year, Florida and other Republican-led states have resisted federal measures to curb the COVID pandemic due to concerns over infringing on individual freedoms.
Governor Ron DeSantis and Florida lawmakers have recently pushed back against what DeSantis has called ""heavy-handed"" COVID mandates, passing legislation to prohibit private employers from requiring vaccines and schools from requiring masks.
George Papadopoulos, a former advisor to President Donald Trump and a conservative author, this week shared an article stating that Florida, which has resisted measures intended to curb the pandemic, is currently experiencing the lowest per capita COVID..."
305,"DeSantis Hails Major Florida Hospital System’s Decision To End Vaccine Mandate For 83,000 Employees","A large Florida hospital has suspended its COVID-19 vaccine mandate.
On Thursday, AdventHealth — headquartered in Altamonte Springs, Florida, and treating patients in eight other states — will no longer force its 83,000 employees to be immunized, although it still encouraged vaccination.
“Based on scientific evidence and what we see in our hospitals every day, COVID-19 vaccines are safe and effective at reducing both the risk of becoming infected and the level of harm in the case of a breakthrough infection,” AdventHealth said in a statement. “As part of our commitment to..."
